Fitness metrics: KappaLoss, CrossValidationLoss, Simplicity

Individual 104
Population size: 800
Generations: 200
Seed: 29
Max features: 60
Crossover probability: 0.9
Mutation probability: 1.0
Pool proportion (to population size): 0.5
Mean fitness values of each generation
[ 0.7257638   0.44823571 30.5075    ]
[ 0.69726828  0.43071455 26.19875   ]
[ 0.68495214  0.4259179  22.9275    ]
[ 0.66084675  0.41144505 21.40125   ]
[ 0.64007507  0.39856837 19.57875   ]
[ 0.61496601  0.38623899 18.7125    ]
[ 0.59424428  0.37383544 17.83375   ]
[ 0.57542052  0.3618536  17.12      ]
[ 0.55814816  0.34878128 16.74125   ]
[ 0.53890263  0.3391312  16.4225    ]
[ 0.52391953  0.32945253 15.98375   ]
[ 0.50629559  0.31988898 15.715     ]
[ 0.49831561  0.31698049 14.75375   ]
[ 0.4781544   0.30705492 14.875     ]
[ 0.45907111  0.29717511 15.01625   ]
[ 0.43946166  0.28515928 14.77375   ]
[ 0.42057291  0.27469633 14.5125    ]
[ 0.41294637  0.2706651  14.31375   ]
[ 0.40819778  0.26661081 13.93125   ]
[ 0.3969709   0.25935421 14.22      ]
[ 0.37437794  0.24614437 14.38      ]
[ 0.36753817  0.24225955 14.0975    ]
[ 0.36399358  0.23930686 13.8575    ]
[ 0.36009172  0.23912417 13.59875   ]
[ 0.35299538  0.23470442 13.49125   ]
[ 0.35018785  0.23392013 13.1225    ]
[ 0.34839582  0.23078384 12.6075    ]
[ 0.34362121  0.23054888 12.465     ]
[ 0.33901343  0.22697686 12.44875   ]
[ 0.33016555  0.22251275 12.42125   ]
[ 0.32352207  0.21759744 12.475     ]
[ 0.3156475   0.21337292 12.56875   ]
[ 0.30484022  0.20671063 12.79625   ]
[ 0.30405708  0.20706717 12.76625   ]
[ 0.30375867  0.20748672 12.4225    ]
[ 0.29788535  0.20486644 12.6325    ]
[ 0.29530843  0.20419154 12.63      ]
[ 0.29455653  0.20206986 12.67375   ]
[ 0.28608331  0.19669871 12.8025    ]
[ 0.28168679  0.19436407 12.9925    ]
[ 0.28199485  0.19408742 12.93125   ]
[ 0.28177495  0.19424145 12.71125   ]
[ 0.28147457  0.19372306 12.5775    ]
[ 0.2786706   0.19239512 12.64375   ]
[ 0.27762878  0.19106125 12.67375   ]
[ 0.27338106  0.19044467 12.73625   ]
[ 0.26909934  0.18789007 12.58875   ]
[ 0.27102189  0.1890845  12.3525    ]
[ 0.26456258  0.18761659 12.39625   ]
[ 0.26696119  0.18856366 12.2275    ]
[ 0.26234324  0.18622356 12.31      ]
[ 0.26410743  0.18717562 12.14375   ]
[ 0.26433399  0.18737925 12.30625   ]
[ 0.26192376  0.18626521 12.26      ]
[ 0.25532966  0.18377502 12.49625   ]
[ 0.25576208  0.18310423 12.45875   ]
[ 0.25480399  0.18302409 12.49875   ]
[ 0.25315973  0.18335934 12.5025    ]
[ 0.25197263  0.18258605 12.5225    ]
[ 0.25102561  0.18283619 12.46125   ]
[ 0.25091367  0.18308616 12.46125   ]
[ 0.25128771  0.18342926 12.49      ]
[ 0.25000865  0.1822582  12.635     ]
[ 0.25095461  0.18243538 12.4725    ]
[ 0.24888926  0.18028073 12.48625   ]
[ 0.24935474  0.1796695  12.54      ]
[ 0.24937928  0.17940531 12.49875   ]
[ 0.24871523  0.17949516 12.53375   ]
[ 0.24928592  0.17965021 12.48875   ]
[ 0.24824745  0.17954468 12.61875   ]
[ 0.2500481   0.18105829 12.475     ]
[ 0.24623324  0.17950877 12.62625   ]
[ 0.2478001   0.18067955 12.57625   ]
[ 0.24614455  0.17966573 12.56625   ]
[ 0.24423387  0.17817591 12.61125   ]
[ 0.24558933  0.17784967 12.69375   ]
[ 0.24590189  0.1785427  12.44875   ]
[ 0.24316143  0.17727726 12.52125   ]
[ 0.24186218  0.17725322 12.5225    ]
[ 0.2397004   0.17669163 12.53625   ]
[ 0.23852924  0.17506433 12.6375    ]
[ 0.23663096  0.17387117 12.705     ]
[ 0.23468843  0.17383791 12.79      ]
[ 0.23459779  0.17344585 12.88375   ]
[ 0.23681032  0.17511122 12.485     ]
[ 0.23445798  0.17369229 12.635     ]
